"CD_TYPE_STATUT","LB_TYPE_STATUT","REGROUPEMENT_TYPE","THEMATIQUE","TYPE_VALUE"
"BARC","Convention de Barcelone","Conventions internationales","STATUTS","VALUE"
"BERN","Convention de Berne","Conventions internationales","STATUTS","VALUE"
"BONN","Convention de Bonn","Conventions internationales","STATUTS","VALUE"
"DH","Directive Habitat","Directives européennes","STATUTS","VALUE"
"DO","Directive Oiseaux","Directives européennes","STATUTS","VALUE"
"exPNA","Plan national terminé","Plan national","STATUTS","VALUE"
"LRE","Liste rouge européenne","Liste rouge","STATUTS","VALUE"
"LRM","Liste rouge mondiale","Liste rouge","STATUTS","VALUE"
"LRN","Liste rouge nationale","Liste rouge","STATUTS","VALUE"
"LRR","Liste rouge régionale","Liste rouge","STATUTS","VALUE"
"OSPAR","Convention OSPAR","Conventions internationales","STATUTS","VALUE"
"PD","Protection départementale","Protection","STATUTS","VALUE"
"PN","Protection nationale","Protection","STATUTS","VALUE"
"PNA","Plan national en cours","Plan national","STATUTS","VALUE"
"POM","Protection COM","Protection","STATUTS","VALUE"
"PR","Protection régionale","Protection","STATUTS","VALUE"
"REGL","Réglementation","Réglementation","STATUTS","VALUE"
"REGLII","Interdiction d'introduction","Réglementation","STATUTS","VALUE"
"REGLLUTTE","Lutte contre certaines espèces","Réglementation","STATUTS","VALUE"
"REGLSO","Réglementation sans objet","Réglementation","STATUTS","VALUE"
"SENSDEP","Sensibilité départementale","SENSIBILITE","STATUTS","VALUE"
"SENSNAT","Sensibilité nationale","SENSIBILITE","STATUTS","VALUE"
"SENSREG","Sensibilité régionale","SENSIBILITE","STATUTS","VALUE"
"ZDET","ZNIEFF Déterminantes","ZNIEFF","STATUTS","VALUE"
